driver_id,abbreviation,permanent_number,full_name,f1_country_code,nationality,is_british,source_type,source_url,source_note
ait,AIT,89,Jack Aitken,GBR,British,True,official_formula1_article,https://www.formula1.com/en/latest/article/formula-2-aitken-animates-home-crowd-with-sprint-race-victory-at.1jPChlsaIjqnliniwly1ew.1jPChlsaIjqnliniwly1ew,Official Formula 1 report identifies Aitken with the British home crowd.
alb,ALB,23,Alexander Albon,THA,Thai,False,f1_live_timing_via_fastf1,https://github.com/theOehrly/Fast-F1,Country code is observed in F1 live timing classifications during the study period.
alo,ALO,14,Fernando Alonso,ESP,Spanish,False,f1_live_timing_via_fastf1,https://github.com/theOehrly/Fast-F1,Country code is observed in F1 live timing classifications during the study period.
ant,ANT,12,Andrea Kimi Antonelli,ITA,Italian,False,official_formula1_profile,https://www.formula1.com/en/drivers/kimi-antonelli,Official Formula 1 driver profile lists Italy.
bea,BEA,87,Oliver Bearman,GBR,British,True,f1_live_timing_via_fastf1,https://github.com/theOehrly/Fast-F1,Country code is observed in F1 live timing classifications during the study period.
bor,BOR,5,Gabriel Bortoleto,BRA,Brazilian,False,official_formula1_profile,https://www.formula1.com/en/drivers/gabriel-bortoleto,Official Formula 1 driver profile lists Brazil.
bot,BOT,77,Valtteri Bottas,FIN,Finnish,False,f1_live_timing_via_fastf1,https://github.com/theOehrly/Fast-F1,Country code is observed in F1 live timing classifications during the study period.
col,COL,43,Franco Colapinto,ARG,Argentine,False,f1_live_timing_via_fastf1,https://github.com/theOehrly/Fast-F1,Country code is observed in F1 live timing classifications during the study period.
dev,DEV,21,Nyck De Vries,NED,Dutch,False,f1_live_timing_via_fastf1,https://github.com/theOehrly/Fast-F1,Country code is observed in F1 live timing classifications during the study period.
doo,DOO,7,Jack Doohan,AUS,Australian,False,f1_live_timing_via_fastf1,https://github.com/theOehrly/Fast-F1,Country code is observed in F1 live timing classifications during the study period.
eri,ERI,9,Marcus Ericsson,SWE,Swedish,False,official_formula1_article,https://www.formula1.com/en/latest/article/there-is-only-one-marcus-ericsson.5eVcuX2bnhCO5SyizroG6T,Official Formula 1 profile identifies Ericsson as Swedish.
fit,FIT,51,Pietro Fittipaldi,BRA,Brazilian,False,official_formula1_article,https://www.formula1.com/en/latest/article/haas-stand-in-pietro-fittipaldi-content-with-finishing-race-in-sakhir-as-he.1opTju8M4elzsJqBs8LN6X,Official Formula 1 report identifies Fittipaldi as Brazilian.
gas,GAS,10,Pierre Gasly,FRA,French,False,f1_live_timing_via_fastf1,https://github.com/theOehrly/Fast-F1,Country code is observed in F1 live timing classifications during the study period.
gio,GIO,99,Antonio Giovinazzi,ITA,Italian,False,official_formula1_article,https://www.formula1.com/en/latest/article/must-see-giovinazzi-makes-up-four-places-in-awesome-first-lap-in-austrian-gp.5tBzQuPQ12oeXKALtdzids,Official Formula 1 report identifies Giovinazzi as Italian.
gro,GRO,8,Romain Grosjean,FRA,French,False,official_formula1_article,https://www.formula1.com/en/latest/article/romain-grosjean-q-a-plenty-more-to-come-from-haas.5YEEktWJxcktuLJrTX6u2X,Official Formula 1 profile identifies Grosjean as French.
had,HAD,6,Isack Hadjar,FRA,French,False,official_formula1_profile,https://www.formula1.com/en/drivers/isack-hadjar,Official Formula 1 driver profile lists France.
ham,HAM,44,Lewis Hamilton,GBR,British,True,f1_live_timing_via_fastf1,https://github.com/theOehrly/Fast-F1,Country code is observed in F1 live timing classifications during the study period.
har,HAR,28,Brendon Hartley,NZL,New Zealander,False,official_formula1_article,https://www.formula1.com/en/latest/article/fantasy-focus-who-should-be-in-your-team-for-russia.1Vg9RAAm6YcwMC2CYWEOmM.1Vg9RAAm6YcwMC2CYWEOmM,Official Formula 1 report identifies Hartley as a New Zealander.
hul,HUL,27,Nico Hulkenberg,GER,German,False,f1_live_timing_via_fastf1,https://github.com/theOehrly/Fast-F1,Country code is observed in F1 live timing classifications during the study period.
kub,KUB,88,Robert Kubica,POL,Polish,False,official_formula1_article,https://www.formula1.com/en/latest/article/robert-kubica-to-return-to-f1-action-with-fp1-run-for-alfa-romeo-in-austria.5flmN8g3mJhW0lxw4OP8u4,Official Formula 1 report identifies Kubica as Polish.
kvy,KVY,26,Daniil Kvyat,RUS,Russian,False,official_formula1_article,https://www.formula1.com/en/latest/article/lights-to-flag-daniil-kvyat-on-his-rollercoaster-ride-with-red-bull-that.29qIg4JEwuQP6E2ryMCrS7,Official Formula 1 profile identifies Kvyat as Russian.
lat,LAT,6,Nicholas Latifi,CAN,Canadian,False,f1_live_timing_via_fastf1,https://github.com/theOehrly/Fast-F1,Country code is observed in F1 live timing classifications during the study period.
law,LAW,30,Liam Lawson,NZL,New Zealander,False,f1_live_timing_via_fastf1,https://github.com/theOehrly/Fast-F1,Country code is observed in F1 live timing classifications during the study period.
lec,LEC,16,Charles Leclerc,MON,Monegasque,False,f1_live_timing_via_fastf1,https://github.com/theOehrly/Fast-F1,Country code is observed in F1 live timing classifications during the study period.
mag,MAG,20,Kevin Magnussen,DEN,Danish,False,f1_live_timing_via_fastf1,https://github.com/theOehrly/Fast-F1,Country code is observed in F1 live timing classifications during the study period.
maz,MAZ,9,Nikita Mazepin,RUS,Russian,False,official_formula1_article,https://www.formula1.com/en/latest/article/mazepin-to-make-f1-debut-in-silverstone-test.7bRJ04381jWb5RPdCPfEJQ.7bRJ04381jWb5RPdCPfEJQ,Official Formula 1 report identifies Mazepin as Russian.
msc,MSC,47,Mick Schumacher,GER,German,False,f1_live_timing_via_fastf1,https://github.com/theOehrly/Fast-F1,Country code is observed in F1 live timing classifications during the study period.
nor,NOR,4,Lando Norris,GBR,British,True,f1_live_timing_via_fastf1,https://github.com/theOehrly/Fast-F1,Country code is observed in F1 live timing classifications during the study period.
oco,OCO,31,Esteban Ocon,FRA,French,False,f1_live_timing_via_fastf1,https://github.com/theOehrly/Fast-F1,Country code is observed in F1 live timing classifications during the study period.
per,PER,11,Sergio Perez,MEX,Mexican,False,f1_live_timing_via_fastf1,https://github.com/theOehrly/Fast-F1,Country code is observed in F1 live timing classifications during the study period.
pia,PIA,81,Oscar Piastri,AUS,Australian,False,f1_live_timing_via_fastf1,https://github.com/theOehrly/Fast-F1,Country code is observed in F1 live timing classifications during the study period.
rai,RAI,7,Kimi Räikkönen,FIN,Finnish,False,official_formula1_hall_of_fame_profile,https://www.formula1.com/en/information/drivers-hall-of-fame-kimi-raikkonen.4Ykdt9U76gWO40cNbjaMXf,Official Formula 1 Hall of Fame profile identifies Räikkönen as Finnish.
