document_review_id,document_id,event_id,season,round_number,event_name,event_date,guideline_regime,title,source_url,published_at,archive_document_class,content_document_class,content_classification_basis,source_availability_status,is_recalled,supersedes_document_id,successor_document_id,version_state_suggestion,is_effective_version_suggestion,content_status_suggestion,parser_version,parser_warning_count,parser_warnings_json,parser_review_required,session_type_raw,session_type_suggestion,session_scope_suggestion,offence_family_suggestion,offence_family_group_suggestion,all_matching_families_suggestion,multiple_family_matches,family_conflict_suggestion,eligibility_suggestion,eligibility_basis,version_status_final,session_scope_final,offence_family_final,eligibility_final,exclusion_reason_final,reviewer_id,review_status,review_notes
document-review-fia-2018-aus-008e39ba8b64,fia-2018-aus-008e39ba8b64,2018-aus,2018,1,Australian Grand Prix,2018-03-25T00:00:00,pre_driving_guidelines,Stewards Decision Doc10 - D. Ricciardo,https://www.fia.com/sites/default/files/2018_australian_grand_prix_2018_summons_-_car_3_minimum_time_set_by_fia_ecu_-_doc_10.pdf,,steward_decision,summons,required_to_report_to_stewards,advertised,False,,,live_standalone,False,content_mismatch_summons,decision-sections-v4,0,[],False,,Unknown,unknown,unclassified,unclassified,,False,False,content_exclusion_suggestion,Archive outcome label content-types as a non-decision or has no parsed decision body.,,,,,,,,
document-review-fia-2018-aus-700cf35f72e7,fia-2018-aus-700cf35f72e7,2018-aus,2018,1,Australian Grand Prix,2018-03-25T00:00:00,pre_driving_guidelines,Stewards Decision Doc12 - Intermediate Tyres,https://www.fia.com/sites/default/files/2018_australian_grand_prix_2018_race_directors_note_-_intermediate_tyres_-_doc_12.pdf,,steward_decision,race_director_notes,issuer_race_director,advertised,False,,,live_standalone,False,content_mismatch_race_director_notes,decision-sections-v4,0,[],False,,Unknown,unknown,unclassified,unclassified,,False,False,content_exclusion_suggestion,Archive outcome label content-types as a non-decision or has no parsed decision body.,,,,,,,,
document-review-fia-2018-aus-613b5bf1c2fd,fia-2018-aus-613b5bf1c2fd,2018-aus,2018,1,Australian Grand Prix,2018-03-25T00:00:00,pre_driving_guidelines,Stewards Decision Doc13 - SC2-SC1 Time,https://www.fia.com/sites/default/files/2018_australian_grand_prix_2018_race_directors_note_sc2-sc1_time_-_doc_13.pdf,,steward_decision,race_director_notes,issuer_race_director,advertised,False,,,live_standalone,False,content_mismatch_race_director_notes,decision-sections-v4,0,[],False,,Unknown,unknown,lap_time_or_delta_procedure,excluded,lap_time_or_delta_procedure,False,False,content_exclusion_suggestion,Archive outcome label content-types as a non-decision or has no parsed decision body.,,,,,,,,
document-review-fia-2018-aus-42abe41e49ab,fia-2018-aus-42abe41e49ab,2018-aus,2018,1,Australian Grand Prix,2018-03-25T00:00:00,pre_driving_guidelines,Stewards Decision Doc15 - K. Raikkonen,https://www.fia.com/sites/default/files/2018_australian_grand_prix_2018_decision_-_car_7_alleged_impeding_-_doc_15.pdf,,steward_decision,steward_decision,steward_document_fallback,advertised,False,,,live_standalone,True,content_confirmed_decision,decision-sections-v4,0,[],False,Practice 2,Practice,out_of_scope_session,qualifying_impeding,secondary,qualifying_impeding,False,False,out_of_scope_suggestion,Observed session is outside the frozen study scope.,,,,,,,,
document-review-fia-2018-aus-ed0849ef4b1b,fia-2018-aus-ed0849ef4b1b,2018-aus,2018,1,Australian Grand Prix,2018-03-25T00:00:00,pre_driving_guidelines,Stewards Decision Doc16 - D. Ricciardo,https://www.fia.com/sites/default/files/2018_australian_grand_prix_2018_offence_-_car_3_minimum_time_set_by_fia_ecu_-_doc_16.pdf,,steward_decision,steward_decision,steward_document_fallback,advertised,False,,,live_standalone,True,content_confirmed_decision,decision-sections-v4,0,[],False,Practice 2,Practice,out_of_scope_session,neutralization_or_flag_procedure,excluded,neutralization_or_flag_procedure,False,False,out_of_scope_suggestion,Document matched predefined excluded offence family neutralization_or_flag_procedure.,,,,,,,,
document-review-fia-2018-aus-317b6a72a557,fia-2018-aus-317b6a72a557,2018-aus,2018,1,Australian Grand Prix,2018-03-25T00:00:00,pre_driving_guidelines,Stewards Decision Doc25 - V.Bottas,https://www.fia.com/sites/default/files/2018_australian_grand_prix_2018_offence_-_car_77_gearbox_-_doc_25.pdf,,steward_decision,steward_decision,steward_document_fallback,advertised,False,,,live_standalone,True,content_confirmed_decision,decision-sections-v4,0,[],False,Qualifying,Qualifying,secondary_qualifying,component_or_allocation,excluded,component_or_allocation,False,False,out_of_scope_suggestion,Document matched predefined excluded offence family component_or_allocation.,,,,,,,,
document-review-fia-2018-aus-9dae6f644d2e,fia-2018-aus-9dae6f644d2e,2018-aus,2018,1,Australian Grand Prix,2018-03-25T00:00:00,pre_driving_guidelines,Stewards Decision Doc31 - K.Magnussen,https://www.fia.com/sites/default/files/2018_australian_grand_prix_2018_offence_-_haas_car_20_-_release_in_an_unsafe_condition_-_doc_31.pdf,,steward_decision,steward_decision,steward_document_fallback,advertised,False,,,live_standalone,True,content_confirmed_decision,decision-sections-v4,0,[],False,Race,Race,primary_race_sprint,unclassified,unclassified,,False,False,manual_offence_review,Session may be in scope but no frozen incident-family rule matched the source text.,,,,,,,,
document-review-fia-2018-aus-43f2326eb8d5,fia-2018-aus-43f2326eb8d5,2018-aus,2018,1,Australian Grand Prix,2018-03-25T00:00:00,pre_driving_guidelines,Stewards Decision Doc32 - R.Grosjean,https://www.fia.com/sites/default/files/2018_australian_grand_prix_2018_offence_-_haas_car_8_-_release_in_an_unsafe_condition_-_doc_32.pdf,,steward_decision,steward_decision,steward_document_fallback,advertised,False,,,live_standalone,True,content_confirmed_decision,decision-sections-v4,0,[],False,Race,Race,primary_race_sprint,unclassified,unclassified,,False,False,manual_offence_review,Session may be in scope but no frozen incident-family rule matched the source text.,,,,,,,,
document-review-fia-2018-aus-767cf17bb1d1,fia-2018-aus-767cf17bb1d1,2018-aus,2018,1,Australian Grand Prix,2018-03-25T00:00:00,pre_driving_guidelines,Stewards Decision Doc5 - P.Gasly,https://www.fia.com/sites/default/files/acfrogd_ocy9rb6rqfg6yv6pzx8zzywaabuvzxcutzjy4kacisnmhmx1ljf16asw2wpi-klqwwi5gz-sugu3feegdxj0hbce-8e_wvv4_rgm5sdj_vpqefdewktmhto.pdf,,steward_decision,steward_decision,steward_document_fallback,advertised,False,,,live_standalone,True,content_confirmed_decision,decision-sections-v4,0,[],False,Practice 1,Practice,out_of_scope_session,pit_lane_speeding,excluded,pit_lane_speeding,False,False,out_of_scope_suggestion,Document matched predefined excluded offence family pit_lane_speeding.,,,,,,,,
document-review-fia-2018-aus-bd70c76fd775,fia-2018-aus-bd70c76fd775,2018-aus,2018,1,Australian Grand Prix,2018-03-25T00:00:00,pre_driving_guidelines,Stewards Decision Doc6 - B.Hartley,https://www.fia.com/sites/default/files/2018_australian_grand_prix_2018_offence_-_car_38_har_-_pit_lane_speeding_-_doc_6.pdf,,steward_decision,steward_decision,steward_document_fallback,advertised,False,,,live_standalone,True,content_confirmed_decision,decision-sections-v4,0,[],False,Practice 1,Practice,out_of_scope_session,pit_lane_speeding,excluded,pit_lane_speeding,False,False,out_of_scope_suggestion,Document matched predefined excluded offence family pit_lane_speeding.,,,,,,,,
