exclusion_qa_id,document_id,event_id,season,round_number,event_name,title,source_url,version_state_suggestion,parser_review_required,session_type_suggestion,session_scope_suggestion,offence_family_suggestion,offence_family_group_suggestion,eligibility_basis,qa_stratum_id,qa_stratum_size,qa_selection_rank,qa_selection_sha256,qa_disposition,corrected_session_scope,corrected_offence_family,reviewer_id,review_status,review_notes
exclusion-qa-fia-2018-abu-eb8df9b17075,fia-2018-abu-eb8df9b17075,2018-abu,2018,21,Abu Dhabi Grand Prix,Stewards Decision Doc26 - R.Grosjean,https://www.fia.com/sites/default/files/doc_26_-_2018_abu_dhabi_grand_prix_-_decision_-_car_8_incident_with_car_10_0.pdf,live_standalone,False,Practice,out_of_scope_session,causing_collision,primary,Observed session is outside the frozen study scope.,2018|out_of_scope_session|causing_collision,2,1,28cffedac847255db0a3f4cd612cea99b51d2aec609c198702f487f85a43a6e6,,,,,,
exclusion-qa-fia-2018-abu-e868b706ba3b,fia-2018-abu-e868b706ba3b,2018-abu,2018,21,Abu Dhabi Grand Prix,Stewards Decision Doc27 - P.Gasly,https://www.fia.com/sites/default/files/doc_27_-_2018_abu_dhabi_grand_prix_-_decision_-_car_10_incident_with_car_8.pdf,live_standalone,False,Practice,out_of_scope_session,causing_collision,primary,Observed session is outside the frozen study scope.,2018|out_of_scope_session|causing_collision,2,2,fb7fd8e768875524bc54e82702d679324ffeb717509a0ac8aed4193ce123cd0a,,,,,,
exclusion-qa-fia-2018-mex-94ba6550b087,fia-2018-mex-94ba6550b087,2018-mex,2018,19,Mexican Grand Prix,Offence Doc19 - P.Gasly,https://www.fia.com/sites/default/files/doc_19_-_2018_mexican_grand_prix_-_offence_-_car_10_gearbox.pdf,live_standalone,False,Practice,out_of_scope_session,component_or_allocation,excluded,Observed session is outside the frozen study scope.,2018|out_of_scope_session|component_or_allocation,24,1,07c0849472b62ac1cdd132cb3bb32ade4eddf8f4fc3250c7e414c134fc3c3f5c,,,,,,
exclusion-qa-fia-2018-rus-e5c90ba53b98,fia-2018-rus-e5c90ba53b98,2018-rus,2018,16,Russian Grand Prix,Steward Decision Doc10 - D. Ricciardo,https://www.fia.com/sites/default/files/doc_10_-_2018_russian_grand_prix_-_offence_-_car_10_power_unit_elements.pdf,live_standalone,False,Practice,out_of_scope_session,component_or_allocation,excluded,Observed session is outside the frozen study scope.,2018|out_of_scope_session|component_or_allocation,24,2,0fcd8448e88968aecb664aad39227995ad1eb95a46c3626b80cc16bf67f68631,,,,,,
exclusion-qa-fia-2018-usa-43fde70c1521,fia-2018-usa-43fde70c1521,2018-usa,2018,18,United States Grand Prix,Offence Doc20 - B.Hartley,https://www.fia.com/sites/default/files/doc_20_-_2018_united_states_grand_prix_-_offence_-_car_28_power_unit_elements.pdf,live_standalone,False,Practice,out_of_scope_session,component_or_allocation,excluded,Observed session is outside the frozen study scope.,2018|out_of_scope_session|component_or_allocation,24,3,156ade50a3a4f8f6e3a2cafd7e6db607a958a88a2133b186c0c51697f3bb12b9,,,,,,
exclusion-qa-fia-2018-aus-ed0849ef4b1b,fia-2018-aus-ed0849ef4b1b,2018-aus,2018,1,Australian Grand Prix,Stewards Decision Doc16 - D. Ricciardo,https://www.fia.com/sites/default/files/2018_australian_grand_prix_2018_offence_-_car_3_minimum_time_set_by_fia_ecu_-_doc_16.pdf,live_standalone,False,Practice,out_of_scope_session,neutralization_or_flag_procedure,excluded,Observed session is outside the frozen study scope.,2018|out_of_scope_session|neutralization_or_flag_procedure,4,1,2609325516985a88a4096a6f32915c25c92fc51fe99573bfe3fabc00e256342d,,,,,,
exclusion-qa-fia-2018-usa-4ad1c6a95f80,fia-2018-usa-4ad1c6a95f80,2018-usa,2018,18,United States Grand Prix,Offence Doc13 - S.Vettel,https://www.fia.com/sites/default/files/doc_13_-_2018_united_states_grand_prix_-_offence_-_car_5_red_fag.pdf,live_standalone,False,Practice,out_of_scope_session,neutralization_or_flag_procedure,excluded,Observed session is outside the frozen study scope.,2018|out_of_scope_session|neutralization_or_flag_procedure,4,2,28289e3653ef28ed63c2eb15673d04d6a8135ee8be292edee6c3a718c845bd70,,,,,,
exclusion-qa-fia-2018-abu-9375edb5886c,fia-2018-abu-9375edb5886c,2018-abu,2018,21,Abu Dhabi Grand Prix,Offence Doc25 - K.Räikkönen,https://www.fia.com/sites/default/files/doc_25_-_2018_abu_dhabi_grand_prix_-_offence_-_car_7_pit_entry.pdf,live_standalone,False,Practice,out_of_scope_session,pit_lane_procedure,excluded,Observed session is outside the frozen study scope.,2018|out_of_scope_session|pit_lane_procedure,10,1,0e617fdfbf9272ab14b65e0ce313c3cface219da49bb660855f4476ec09a6477,,,,,,
exclusion-qa-fia-2018-bhr-bdbe02e8bc68,fia-2018-bhr-bdbe02e8bc68,2018-bhr,2018,2,Bahrain Grand Prix,Stewards Decision Doc11 - K.Raikkonen,https://www.fia.com/sites/default/files/2018_bahrain_grand_prix_2018_offence_-_ferrari_car_7_-_release_in_an_unsafe_condition_-_doc_11.pdf,live_standalone,False,Practice,out_of_scope_session,pit_lane_procedure,excluded,Observed session is outside the frozen study scope.,2018|out_of_scope_session|pit_lane_procedure,10,2,37226821bdc6d161ec500c24493370bc6e42c542c6bd62abb614f053a08316f2,,,,,,
exclusion-qa-fia-2018-mco-f40d16d35e9a,fia-2018-mco-f40d16d35e9a,2018-mco,2018,6,Monaco Grand Prix,Stewards Decision Doc24 - S.Perez,https://www.fia.com/sites/default/files/2018_monaco_grand_prix_-_offence_-_car_11_pit_lane_speeding24.pdf,live_standalone,False,Practice,out_of_scope_session,pit_lane_speeding,excluded,Observed session is outside the frozen study scope.,2018|out_of_scope_session|pit_lane_speeding,23,1,0877b43dd77323c009edfa7052e3a9156adaee37ff235aebc9d1e379a8c9521a,,,,,,
