adjudication_instance_id,adjudication_id,incident_id,document_id,event_id,session_type,incident_family,accused_driver_number,affected_driver_numbers,location_model_reviewed,lap_model_reviewed,incident_lap_candidate,incident_lap_basis,incident_lap_window_min,incident_lap_window_max,possible_accused_laps,clock_lower_utc,clock_upper_utc,clock_mapping_basis,referral_episode_id,referral_link_status,referral_link_score,message_lap_upper_bound,message_lap_last,race_control_process_statuses,race_control_messages_json,first_lap_candidate,wet_track_candidate,safety_car_restart_candidate,attacker_line_candidate,overlap_candidate,corner_phase_candidate,control_error_candidate,context_evidence_json,context_review_status,timing_review_status,context_reviewer_id,context_reviewed_at,context_review_notes,guideline_regime,outcome_family,penalty_seconds,penalty_points,grid_places,fault_language,match_incident_key,sanction_outcome,fault_conditioned_group_size,conditional_analysis_status
adjudication-seed-fia-2018-aze-1bbf84530187-01,adj-e467c6122d516580,incident-src-e467c6122d516580,fia-2018-aze-1bbf84530187,2018-aze,Race,causing_collision,33,3,Turn 20,,40,fia_incident_clock_single_lap_interval,40,40,40,2018-04-29T13:29:00+00:00,2018-04-29T13:30:00+00:00,fia_clock_lap_interval,referral-fa03188bfc3f5b32,candidate_pending_review,8.0,50.0,50.0,post_session_investigation,"[""TURN 1 INCIDENT INVOLVING CARS 3 (RIC) AND 33 (VER) WILL BE INVESTIGATED AFTER THE RACE""]",False,False,False,unknown,unknown,unknown,False,{},machine_extracted_pending_human_review,pending_human_review,,,,pre_driving_guidelines,reprimand,,,,shared_fault,referral-fa03188bfc3f5b32,True,8,descriptive_pending_human_review
adjudication-seed-fia-2018-aze-23f8b0b5b715-01,adj-cbb36a04e5932d9a,incident-src-cbb36a04e5932d9a,fia-2018-aze-23f8b0b5b715,2018-aze,Race,causing_collision,9,20,Turn 2,,1,fia_incident_clock_single_lap_interval,1,1,1,2018-04-29T12:14:00+00:00,2018-04-29T12:15:00+00:00,fia_clock_lap_interval,referral-035f8d6260760de8,candidate_pending_review,10.0,20.0,20.0,investigation,"[""TURN 2 INCIDENT INVOLVING CARS 9 (ERI) AND 20 (MAG) UNDER INVESTIGATION""]",True,False,False,unknown,unknown,unknown,False,{},machine_extracted_pending_human_review,pending_human_review,,,,pre_driving_guidelines,time_penalty,10,2,,wholly_to_blame,referral-035f8d6260760de8,True,17,descriptive_pending_human_review
adjudication-seed-fia-2018-aze-4fbe7e105140-01,adj-915feddd8ae6b043,incident-src-915feddd8ae6b043,fia-2018-aze-4fbe7e105140,2018-aze,Race,causing_collision,35,11,Turn 2,,1,fia_incident_clock_single_lap_interval,1,1,1,2018-04-29T12:14:00+00:00,2018-04-29T12:15:00+00:00,fia_clock_lap_interval,,unmatched,,,,,,True,False,False,unknown,unknown,unknown,False,{},machine_extracted_pending_human_review,pending_human_review,,,,pre_driving_guidelines,grid_penalty,,2,3,wholly_to_blame,incident-src-915feddd8ae6b043,True,17,descriptive_pending_human_review
adjudication-seed-fia-2018-aze-94399ce60452-01,adj-fb216d7f0fbf8ff1,incident-src-fb216d7f0fbf8ff1,fia-2018-aze-94399ce60452,2018-aze,Race,causing_collision,3,33,Turn 20,,40,fia_incident_clock_single_lap_interval,40,40,40,2018-04-29T13:29:00+00:00,2018-04-29T13:30:00+00:00,fia_clock_lap_interval,referral-fa03188bfc3f5b32,candidate_pending_review,8.0,50.0,50.0,post_session_investigation,"[""TURN 1 INCIDENT INVOLVING CARS 3 (RIC) AND 33 (VER) WILL BE INVESTIGATED AFTER THE RACE""]",False,False,False,unknown,unknown,unknown,False,{},machine_extracted_pending_human_review,pending_human_review,,,,pre_driving_guidelines,reprimand,,,,shared_fault,referral-fa03188bfc3f5b32,True,8,descriptive_pending_human_review
adjudication-seed-fia-2018-aze-b6df36c282b7-01,adj-b5b3a795e56fb51d,incident-src-b5b3a795e56fb51d,fia-2018-aze-b6df36c282b7,2018-aze,Race,causing_collision,20,10,Turn 20,,,unresolved,47,48,47|48,2018-04-29T13:50:00+00:00,2018-04-29T13:51:00+00:00,fia_clock_lap_interval,referral-284df2fbe634a719,candidate_pending_review,10.0,51.0,51.0,post_session_investigation,"[""TURN 20 INCIDENT INVOLVING CARS 10 (GAS) AND 20 (MAG) WILL BE INVESTIGATED AFTER THE RACE""]",False,False,False,unknown,unknown,unknown,False,{},machine_extracted_pending_human_review,pending_human_review,,,,pre_driving_guidelines,time_penalty,10,2,,wholly_to_blame,referral-284df2fbe634a719,True,17,descriptive_pending_human_review
adjudication-seed-fia-2018-bel-5f9336c3c23e-01,adj-dad7e6d1095a4d05,incident-src-dad7e6d1095a4d05,fia-2018-bel-5f9336c3c23e,2018-bel,Race,causing_collision,77,35,Turn 1,,1,fia_incident_clock_single_lap_interval,1,1,1,2018-08-26T13:13:00+00:00,2018-08-26T13:14:00+00:00,fia_clock_lap_interval,,unmatched,,,,,,True,False,False,unknown,unknown,unknown,False,{},machine_extracted_pending_human_review,pending_human_review,,,,pre_driving_guidelines,time_penalty,5,2,,wholly_to_blame,incident-src-dad7e6d1095a4d05,True,17,descriptive_pending_human_review
adjudication-seed-fia-2018-bel-6346000a9777-01,adj-f2430a8dcab51295,incident-src-f2430a8dcab51295,fia-2018-bel-6346000a9777,2018-bel,Race,causing_collision,27,14,Turn 1,,1,fia_incident_clock_single_lap_interval,1,1,1,2018-08-26T13:13:00+00:00,2018-08-26T13:14:00+00:00,fia_clock_lap_interval,,unmatched,,,,,,True,False,False,unknown,unknown,unknown,False,{},machine_extracted_pending_human_review,pending_human_review,,,,pre_driving_guidelines,grid_penalty,,3,10,wholly_to_blame,incident-src-f2430a8dcab51295,True,17,descriptive_pending_human_review
adjudication-seed-fia-2018-bhr-37959695abd9-01,adj-f085f5d8e175f3e4,incident-src-f085f5d8e175f3e4,fia-2018-bhr-37959695abd9,2018-bhr,Race,causing_collision,28,11,Turn 4,,1,fia_incident_clock_single_lap_interval,1,1,1,2018-04-08T15:14:00+00:00,2018-04-08T15:15:00+00:00,fia_clock_pre_start_first_lap_tolerance,referral-d039353f8ed48fe0,high_confidence_algorithmic,15.0,7.0,12.0,investigation|sanction_announced|post_session_investigation,"[""TURN 4 INCIDENT INVOLVING CARS 11 (PER) AND 28 (HAR) UNDER INVESTIGATION - CAUSING A COLLISION"", ""10 SECOND TIME PENALTY FOR CAR 28 (HAR) - CAUSING A COLLISION"", ""INCIDENT INVOLVING CARS 11 (PER) AND 28 (HAR) UNDER INVESTIGATION - FAILURE TO MAINTAIN ORDER ON THE FORMATION LAP"", ""INCIDENT INVOLVING CARS 11 (PER) AND 28 (HAR) WILL BE INVESTIGATED AFTER THE RACE""]",True,False,False,unknown,unknown,unknown,False,{},machine_extracted_pending_human_review,pending_human_review,,,,pre_driving_guidelines,time_penalty,10,2,,wholly_to_blame,referral-d039353f8ed48fe0,True,17,descriptive_pending_human_review
adjudication-seed-fia-2018-chn-ad3c0076d583-01,adj-171323b01c7fd2e4,incident-src-171323b01c7fd2e4,fia-2018-chn-ad3c0076d583,2018-chn,Race,causing_collision,10,28,Turn 14,,29,fia_incident_clock_single_lap_interval,29,29,29,2018-04-15T07:02:00+00:00,2018-04-15T07:03:00+00:00,fia_clock_lap_interval,referral-da0e54c0187d0fbe,high_confidence_algorithmic,15.0,32.0,36.0,investigation|sanction_announced,"[""TURN 14 INCIDENT INVOLVING CARS 10 (GAS) AND 28 (HAR) UNDER INVESTIGATION - CAUSING A COLLISION"", ""10 SECOND TIME PENALTY FOR CAR 10 (GAS) - CAUSING A COLLISION""]",False,False,False,unknown,unknown,unknown,False,{},machine_extracted_pending_human_review,pending_human_review,,,,pre_driving_guidelines,time_penalty,10,2,,predominantly_to_blame,referral-da0e54c0187d0fbe,True,15,descriptive_pending_human_review
adjudication-seed-fia-2018-chn-e98fbe4695b8-01,adj-04b290c26ab9e55d,incident-src-04b290c26ab9e55d,fia-2018-chn-e98fbe4695b8,2018-chn,Race,causing_collision,33,5,Turn 14,,,unresolved,43,44,43|44,2018-04-15T07:28:00+00:00,2018-04-15T07:29:00+00:00,fia_clock_lap_interval,referral-07b5cb573e331c13,high_confidence_algorithmic,15.0,44.0,46.0,investigation|sanction_announced,"[""TURN 14 INCIDENT INVOLVING CARS 5 (VET) AND 33 (VER) UNDER INVESTIGATION - CAUSING A COLLISION"", ""10 SECOND TIME PENALTY FOR CAR 33 (VER) - CAUSING A COLLISION""]",False,False,False,unknown,unknown,unknown,False,{},machine_extracted_pending_human_review,pending_human_review,,,,pre_driving_guidelines,time_penalty,10,2,,predominantly_to_blame,referral-07b5cb573e331c13,True,15,descriptive_pending_human_review
