adjudication_instance_id,adjudication_id,incident_id,document_id,event_id,session_type,accused_driver_number,incident_time_raw,event_timezone,clock_lower_utc,clock_upper_utc,possible_accused_laps,possible_lap_count,single_lap_candidate,mapping_basis,known_model_reviewed_lap,known_lap_within_clock_window,clock_mapping_review_status
adjudication-seed-fia-2018-abu-18bc30990ea3-01,adj-b68335d3407c00bc,incident-src-b68335d3407c00bc,fia-2018-abu-18bc30990ea3,2018-abu,Race,14,18:51,+04:00,2018-11-25T14:51:00+00:00,2018-11-25T14:52:00+00:00,53|54,2,,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2018-abu-754824eaae10-01,adj-58eaa3eee308cb80,incident-src-58eaa3eee308cb80,fia-2018-abu-754824eaae10,2018-abu,Race,14,18:52,+04:00,2018-11-25T14:52:00+00:00,2018-11-25T14:53:00+00:00,54,1,54,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2018-abu-b67f80da207e-01,adj-2082537af6db5e25,incident-src-2082537af6db5e25,fia-2018-abu-b67f80da207e,2018-abu,Race,27,17:14,+04:00,2018-11-25T13:14:00+00:00,2018-11-25T13:15:00+00:00,1,1,1,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2018-abu-ba74bbf1e4a2-01,adj-e83d46d8daf5ec73,incident-src-e83d46d8daf5ec73,fia-2018-abu-ba74bbf1e4a2,2018-abu,Race,14,18:47,+04:00,2018-11-25T14:47:00+00:00,2018-11-25T14:48:00+00:00,51,1,51,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2018-abu-e3bd8959c0f4-01,adj-9a44d3fc12f61d17,incident-src-9a44d3fc12f61d17,fia-2018-abu-e3bd8959c0f4,2018-abu,Race,31,18:13,+04:00,2018-11-25T14:13:00+00:00,2018-11-25T14:14:00+00:00,31|32,2,,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2018-aut-6376daf466a5-01,adj-b25c86494efcda3c,incident-src-b25c86494efcda3c,fia-2018-aut-6376daf466a5,2018-aut,Race,7,15:13,+02:00,2018-07-01T13:13:00+00:00,2018-07-01T13:14:00+00:00,1|2,2,,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2018-aut-9c50973f6716-01,adj-42055c7ca321d011,incident-src-42055c7ca321d011,fia-2018-aut-9c50973f6716,2018-aut,Race,55,15:12,+02:00,2018-07-01T13:12:00+00:00,2018-07-01T13:13:00+00:00,1,1,1,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2018-aze-1bbf84530187-01,adj-e467c6122d516580,incident-src-e467c6122d516580,fia-2018-aze-1bbf84530187,2018-aze,Race,33,17:29,+04:00,2018-04-29T13:29:00+00:00,2018-04-29T13:30:00+00:00,40,1,40,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2018-aze-23f8b0b5b715-01,adj-cbb36a04e5932d9a,incident-src-cbb36a04e5932d9a,fia-2018-aze-23f8b0b5b715,2018-aze,Race,9,16:14,+04:00,2018-04-29T12:14:00+00:00,2018-04-29T12:15:00+00:00,1,1,1,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2018-aze-3e59a6773794-01,adj-2244116a8d1885ec,incident-src-2244116a8d1885ec,fia-2018-aze-3e59a6773794,2018-aze,Race,31,16:14,+04:00,2018-04-29T12:14:00+00:00,2018-04-29T12:15:00+00:00,1,1,1,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2018-aze-4fbe7e105140-01,adj-915feddd8ae6b043,incident-src-915feddd8ae6b043,fia-2018-aze-4fbe7e105140,2018-aze,Race,35,16:14,+04:00,2018-04-29T12:14:00+00:00,2018-04-29T12:15:00+00:00,1,1,1,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2018-aze-94399ce60452-01,adj-fb216d7f0fbf8ff1,incident-src-fb216d7f0fbf8ff1,fia-2018-aze-94399ce60452,2018-aze,Race,3,17:29,+04:00,2018-04-29T13:29:00+00:00,2018-04-29T13:30:00+00:00,40,1,40,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2018-aze-b6df36c282b7-01,adj-b5b3a795e56fb51d,incident-src-b5b3a795e56fb51d,fia-2018-aze-b6df36c282b7,2018-aze,Race,20,17:50,+04:00,2018-04-29T13:50:00+00:00,2018-04-29T13:51:00+00:00,47|48,2,,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2018-bel-5f9336c3c23e-01,adj-dad7e6d1095a4d05,incident-src-dad7e6d1095a4d05,fia-2018-bel-5f9336c3c23e,2018-bel,Race,77,15:13,+02:00,2018-08-26T13:13:00+00:00,2018-08-26T13:14:00+00:00,1,1,1,fia_clock_lap_interval,,,algorithmic_pending_human_validation
adjudication-seed-fia-2018-bel-6346000a9777-01,adj-f2430a8dcab51295,incident-src-f2430a8dcab51295,fia-2018-bel-6346000a9777,2018-bel,Race,27,15:13,+02:00,2018-08-26T13:13:00+00:00,2018-08-26T13:14:00+00:00,1,1,1,fia_clock_lap_interval,,,algorithmic_pending_human_validation
