adjudication_instance_id,adjudication_id,incident_id,document_id,event_id,session_type,incident_family,accused_driver_number,affected_driver_numbers,location_model_reviewed,lap_model_reviewed,incident_lap_candidate,incident_lap_basis,incident_lap_window_min,incident_lap_window_max,possible_accused_laps,clock_lower_utc,clock_upper_utc,clock_mapping_basis,referral_episode_id,referral_link_status,referral_link_score,message_lap_upper_bound,message_lap_last,race_control_process_statuses,race_control_messages_json,first_lap_candidate,wet_track_candidate,safety_car_restart_candidate,attacker_line_candidate,overlap_candidate,corner_phase_candidate,control_error_candidate,context_evidence_json,context_review_status,timing_review_status,context_reviewer_id,context_reviewed_at,context_review_notes
adjudication-seed-fia-2018-abu-18bc30990ea3-01,adj-b68335d3407c00bc,incident-src-b68335d3407c00bc,fia-2018-abu-18bc30990ea3,2018-abu,Race,gaining_advantage_off_track,14,,Turn 8,,,unresolved,53,54,53|54,2018-11-25T14:51:00+00:00,2018-11-25T14:52:00+00:00,fia_clock_lap_interval,referral-036a14c008c11cef,high_confidence_algorithmic,13.0,54.0,55.0,sanction_announced,"[""5 SECOND TIME PENALTY FOR CAR 14 (ALO) - LEAVING THE TRACK AND GAINING AN ADVANTAGE"", ""5 SECOND TIME PENALTY FOR CAR 14 (ALO) - LEAVING THE TRACK AND GAINING AN ADVANTAGE"", ""5 SECOND TIME PENALTY FOR CAR 14 (ALO) - LEAVING THE TRACK AND GAINING AN ADVANTAGE""]",False,False,False,unknown,unknown,unknown,False,{},machine_extracted_pending_human_review,pending_human_review,,,
adjudication-seed-fia-2018-abu-754824eaae10-01,adj-58eaa3eee308cb80,incident-src-58eaa3eee308cb80,fia-2018-abu-754824eaae10,2018-abu,Race,gaining_advantage_off_track,14,,Turn 8,,54,fia_incident_clock_single_lap_interval,54,54,54,2018-11-25T14:52:00+00:00,2018-11-25T14:53:00+00:00,fia_clock_lap_interval,referral-036a14c008c11cef,high_confidence_algorithmic,13.0,54.0,55.0,sanction_announced,"[""5 SECOND TIME PENALTY FOR CAR 14 (ALO) - LEAVING THE TRACK AND GAINING AN ADVANTAGE"", ""5 SECOND TIME PENALTY FOR CAR 14 (ALO) - LEAVING THE TRACK AND GAINING AN ADVANTAGE"", ""5 SECOND TIME PENALTY FOR CAR 14 (ALO) - LEAVING THE TRACK AND GAINING AN ADVANTAGE""]",False,False,False,unknown,unknown,unknown,False,{},machine_extracted_pending_human_review,pending_human_review,,,
adjudication-seed-fia-2018-abu-b67f80da207e-01,adj-2082537af6db5e25,incident-src-2082537af6db5e25,fia-2018-abu-b67f80da207e,2018-abu,Race,causing_collision,27,,Turn 9,,1,fia_incident_clock_single_lap_interval,1,1,1,2018-11-25T13:14:00+00:00,2018-11-25T13:15:00+00:00,fia_clock_lap_interval,referral-9b6de88fc350879a,high_confidence_algorithmic,14.0,3.0,3.0,investigation|no_further_action,"[""TURN 9 INCIDENT INVOLVING CARS 27 (HUL) AND 8 (GRO) UNDER INVESTIGATION - CAUSING A COLLISION"", ""TURN 9 INCIDENT INVOLVING CARS 27 (HUL) AND 8 (GRO) - NO FURTHER ACTION""]",True,False,False,unknown,unknown,unknown,False,"{""first_lap"": [""This was a first lap incident.""]}",machine_extracted_pending_human_review,pending_human_review,,,
adjudication-seed-fia-2018-abu-ba74bbf1e4a2-01,adj-e83d46d8daf5ec73,incident-src-e83d46d8daf5ec73,fia-2018-abu-ba74bbf1e4a2,2018-abu,Race,gaining_advantage_off_track,14,,Turn 8,,51,fia_incident_clock_single_lap_interval,51,51,51,2018-11-25T14:47:00+00:00,2018-11-25T14:48:00+00:00,fia_clock_lap_interval,referral-036a14c008c11cef,high_confidence_algorithmic,13.0,54.0,55.0,sanction_announced,"[""5 SECOND TIME PENALTY FOR CAR 14 (ALO) - LEAVING THE TRACK AND GAINING AN ADVANTAGE"", ""5 SECOND TIME PENALTY FOR CAR 14 (ALO) - LEAVING THE TRACK AND GAINING AN ADVANTAGE"", ""5 SECOND TIME PENALTY FOR CAR 14 (ALO) - LEAVING THE TRACK AND GAINING AN ADVANTAGE""]",False,False,False,unknown,unknown,unknown,False,{},machine_extracted_pending_human_review,pending_human_review,,,
adjudication-seed-fia-2018-abu-e3bd8959c0f4-01,adj-9a44d3fc12f61d17,incident-src-9a44d3fc12f61d17,fia-2018-abu-e3bd8959c0f4,2018-abu,Race,gaining_advantage_off_track,31,2,Turn 17,,,unresolved,31,32,31|32,2018-11-25T14:13:00+00:00,2018-11-25T14:14:00+00:00,fia_clock_lap_interval,referral-afc003373dd8dcff,high_confidence_algorithmic,15.0,33.0,35.0,investigation|sanction_announced,"[""TURN 17 INCIDENT INVOLVING CARS 2 (VAN) AND 31 (OCO) UNDER INVESTIGATION - LEAVING THE TRACK AND GAINING AN ADVANTAGE"", ""5 SECOND TIME PENALTY FOR CAR 31 (OCO) - LEAVING THE TRACK AND GAINING AN ADVANTAGE""]",False,False,False,unknown,unknown,unknown,False,{},machine_extracted_pending_human_review,pending_human_review,,,
adjudication-seed-fia-2018-aut-6376daf466a5-01,adj-b25c86494efcda3c,incident-src-b25c86494efcda3c,fia-2018-aut-6376daf466a5,2018-aut,Race,gaining_advantage_off_track,7,33,Turn 3,,,unresolved,1,2,1|2,2018-07-01T13:13:00+00:00,2018-07-01T13:14:00+00:00,fia_clock_lap_interval,referral-6e403822e93409c7,candidate_pending_review,12.0,10.0,21.0,noted|investigation|no_further_action,"[""TURN 3 INCIDENT INVOLVING CARS 7 (RAI) AND 33 (VER) NOTED"", ""TURN 3 INCIDENT INVOLVING CARS 7 (RAI) AND 33 (VER) UNDER INVESTIGATION"", ""TURN 3 INCIDENT INVOLVING CARS 7 (RAI) AND 33 (VER) - NO FURTHER ACTION""]",False,False,False,unknown,unknown,unknown,False,{},machine_extracted_pending_human_review,pending_human_review,,,
adjudication-seed-fia-2018-aut-9c50973f6716-01,adj-42055c7ca321d011,incident-src-42055c7ca321d011,fia-2018-aut-9c50973f6716,2018-aut,Race,forcing_off_track,55,31,Turn 1,,1,fia_incident_clock_single_lap_interval,1,1,1,2018-07-01T13:12:00+00:00,2018-07-01T13:13:00+00:00,fia_clock_lap_interval,referral-e5a0ee4b543a5b62,candidate_pending_review,12.0,9.0,25.0,noted|investigation|sanction_announced,"[""TURN 1 INCIDENT INVOLVING CARS 31 (OCO) AND 55 (SAI) NOTED"", ""TURN 1 INCIDENT INVOLVING CARS 31 (OCO) AND 55 (SAI) UNDER INVESTIGATION"", ""TURN 1 INCIDENT INVOLVING CARS 31 (OCO) AND 55 (SAI) - REPRIMAND TO CAR 55 (SAI)""]",True,False,False,unknown,unknown,unknown,False,{},machine_extracted_pending_human_review,pending_human_review,,,
adjudication-seed-fia-2018-aze-1bbf84530187-01,adj-e467c6122d516580,incident-src-e467c6122d516580,fia-2018-aze-1bbf84530187,2018-aze,Race,causing_collision,33,3,Turn 20,,40,fia_incident_clock_single_lap_interval,40,40,40,2018-04-29T13:29:00+00:00,2018-04-29T13:30:00+00:00,fia_clock_lap_interval,referral-fa03188bfc3f5b32,candidate_pending_review,8.0,50.0,50.0,post_session_investigation,"[""TURN 1 INCIDENT INVOLVING CARS 3 (RIC) AND 33 (VER) WILL BE INVESTIGATED AFTER THE RACE""]",False,False,False,unknown,unknown,unknown,False,{},machine_extracted_pending_human_review,pending_human_review,,,
adjudication-seed-fia-2018-aze-23f8b0b5b715-01,adj-cbb36a04e5932d9a,incident-src-cbb36a04e5932d9a,fia-2018-aze-23f8b0b5b715,2018-aze,Race,causing_collision,9,20,Turn 2,,1,fia_incident_clock_single_lap_interval,1,1,1,2018-04-29T12:14:00+00:00,2018-04-29T12:15:00+00:00,fia_clock_lap_interval,referral-035f8d6260760de8,candidate_pending_review,10.0,20.0,20.0,investigation,"[""TURN 2 INCIDENT INVOLVING CARS 9 (ERI) AND 20 (MAG) UNDER INVESTIGATION""]",True,False,False,unknown,unknown,unknown,False,{},machine_extracted_pending_human_review,pending_human_review,,,
adjudication-seed-fia-2018-aze-3e59a6773794-01,adj-2244116a8d1885ec,incident-src-2244116a8d1885ec,fia-2018-aze-3e59a6773794,2018-aze,Race,causing_collision,31,7,"Turns 3, 2",,1,fia_incident_clock_single_lap_interval,1,1,1,2018-04-29T12:14:00+00:00,2018-04-29T12:15:00+00:00,fia_clock_lap_interval,referral-000a36711d6e5f60,candidate_pending_review,8.0,19.0,19.0,post_session_investigation,"[""TURN 2 INCIDENT INVOLVING CARS 31 (OCO) AND 7 (RAI) WILL BE INVESTIGATED AFTER THE RACE""]",True,False,False,inside,unknown,unknown,False,"{""attacker_line"": [""The driver of car 31 stated that the last vision he had of car 7 was on the straight after turn 2 which the two cars had successfully negotiated and that he had not seen car 7 on the inside into turn 3.""], ""first_lap"": [""The driver of car 7 and his team representative conceded that the collision was typical of a first lap racing “incident”.""]}",machine_extracted_pending_human_review,pending_human_review,,,
adjudication-seed-fia-2018-aze-4fbe7e105140-01,adj-915feddd8ae6b043,incident-src-915feddd8ae6b043,fia-2018-aze-4fbe7e105140,2018-aze,Race,causing_collision,35,11,Turn 2,,1,fia_incident_clock_single_lap_interval,1,1,1,2018-04-29T12:14:00+00:00,2018-04-29T12:15:00+00:00,fia_clock_lap_interval,,unmatched,,,,,,True,False,False,unknown,unknown,unknown,False,{},machine_extracted_pending_human_review,pending_human_review,,,
adjudication-seed-fia-2018-aze-94399ce60452-01,adj-fb216d7f0fbf8ff1,incident-src-fb216d7f0fbf8ff1,fia-2018-aze-94399ce60452,2018-aze,Race,causing_collision,3,33,Turn 20,,40,fia_incident_clock_single_lap_interval,40,40,40,2018-04-29T13:29:00+00:00,2018-04-29T13:30:00+00:00,fia_clock_lap_interval,referral-fa03188bfc3f5b32,candidate_pending_review,8.0,50.0,50.0,post_session_investigation,"[""TURN 1 INCIDENT INVOLVING CARS 3 (RIC) AND 33 (VER) WILL BE INVESTIGATED AFTER THE RACE""]",False,False,False,unknown,unknown,unknown,False,{},machine_extracted_pending_human_review,pending_human_review,,,
