adjudication_instance_id,adjudication_id,incident_id,neighbor_rank,neighbor_adjudication_instance_id,neighbor_adjudication_id,neighbor_incident_id,distance,fully_compared_context_fields,compared_fields,neighbor_sanction_outcome,neighbor_outcome_family,neighbor_penalty_seconds,neighbor_penalty_points,neighbor_grid_places,match_stage,sanction_outcome,different_sanction_outcome,interpretation
adjudication-seed-fia-2018-abu-18bc30990ea3-01,adj-b68335d3407c00bc,incident-src-b68335d3407c00bc,1,adjudication-seed-fia-2018-abu-e3bd8959c0f4-01,adj-9a44d3fc12f61d17,incident-src-9a44d3fc12f61d17,0.0,3,first_lap_candidate|wet_track_candidate|safety_car_restart_candidate,True,time_penalty,5,1,,pre_review_feasibility,True,False,review_priority_only_pending_context_and_conduct_review
adjudication-seed-fia-2018-abu-18bc30990ea3-01,adj-b68335d3407c00bc,incident-src-b68335d3407c00bc,2,adjudication-seed-fia-2018-aut-6376daf466a5-01,adj-b25c86494efcda3c,incident-src-b25c86494efcda3c,0.0,3,first_lap_candidate|wet_track_candidate|safety_car_restart_candidate,False,no_further_action,,,,pre_review_feasibility,True,True,review_priority_only_pending_context_and_conduct_review
adjudication-seed-fia-2018-abu-18bc30990ea3-01,adj-b68335d3407c00bc,incident-src-b68335d3407c00bc,3,adjudication-seed-fia-2018-jpn-af0be8505555-01,adj-590d4355a3039791,incident-src-590d4355a3039791,0.0,3,first_lap_candidate|wet_track_candidate|safety_car_restart_candidate,True,time_penalty,5,1,,pre_review_feasibility,True,False,review_priority_only_pending_context_and_conduct_review
adjudication-seed-fia-2018-abu-18bc30990ea3-01,adj-b68335d3407c00bc,incident-src-b68335d3407c00bc,4,adjudication-seed-fia-2019-ita-e4746c5c634f-01,adj-c74375d6086c31ed,incident-src-c74375d6086c31ed,0.0,3,first_lap_candidate|wet_track_candidate|safety_car_restart_candidate,True,time_penalty,5,1,,pre_review_feasibility,True,False,review_priority_only_pending_context_and_conduct_review
adjudication-seed-fia-2018-abu-18bc30990ea3-01,adj-b68335d3407c00bc,incident-src-b68335d3407c00bc,5,adjudication-seed-fia-2019-mco-b0bed801d3e3-01,adj-1647a94a71c5efa4,incident-src-1647a94a71c5efa4,0.0,3,first_lap_candidate|wet_track_candidate|safety_car_restart_candidate,True,time_penalty,5,1,,pre_review_feasibility,True,False,review_priority_only_pending_context_and_conduct_review
adjudication-seed-fia-2018-abu-754824eaae10-01,adj-58eaa3eee308cb80,incident-src-58eaa3eee308cb80,1,adjudication-seed-fia-2018-abu-e3bd8959c0f4-01,adj-9a44d3fc12f61d17,incident-src-9a44d3fc12f61d17,0.0,3,first_lap_candidate|wet_track_candidate|safety_car_restart_candidate,True,time_penalty,5,1,,pre_review_feasibility,True,False,review_priority_only_pending_context_and_conduct_review
adjudication-seed-fia-2018-abu-754824eaae10-01,adj-58eaa3eee308cb80,incident-src-58eaa3eee308cb80,2,adjudication-seed-fia-2018-aut-6376daf466a5-01,adj-b25c86494efcda3c,incident-src-b25c86494efcda3c,0.0,3,first_lap_candidate|wet_track_candidate|safety_car_restart_candidate,False,no_further_action,,,,pre_review_feasibility,True,True,review_priority_only_pending_context_and_conduct_review
adjudication-seed-fia-2018-abu-754824eaae10-01,adj-58eaa3eee308cb80,incident-src-58eaa3eee308cb80,3,adjudication-seed-fia-2018-jpn-af0be8505555-01,adj-590d4355a3039791,incident-src-590d4355a3039791,0.0,3,first_lap_candidate|wet_track_candidate|safety_car_restart_candidate,True,time_penalty,5,1,,pre_review_feasibility,True,False,review_priority_only_pending_context_and_conduct_review
adjudication-seed-fia-2018-abu-754824eaae10-01,adj-58eaa3eee308cb80,incident-src-58eaa3eee308cb80,4,adjudication-seed-fia-2019-ita-e4746c5c634f-01,adj-c74375d6086c31ed,incident-src-c74375d6086c31ed,0.0,3,first_lap_candidate|wet_track_candidate|safety_car_restart_candidate,True,time_penalty,5,1,,pre_review_feasibility,True,False,review_priority_only_pending_context_and_conduct_review
adjudication-seed-fia-2018-abu-754824eaae10-01,adj-58eaa3eee308cb80,incident-src-58eaa3eee308cb80,5,adjudication-seed-fia-2019-mco-b0bed801d3e3-01,adj-1647a94a71c5efa4,incident-src-1647a94a71c5efa4,0.0,3,first_lap_candidate|wet_track_candidate|safety_car_restart_candidate,True,time_penalty,5,1,,pre_review_feasibility,True,False,review_priority_only_pending_context_and_conduct_review
adjudication-seed-fia-2018-abu-b67f80da207e-01,adj-2082537af6db5e25,incident-src-2082537af6db5e25,1,adjudication-seed-fia-2018-aze-23f8b0b5b715-01,adj-cbb36a04e5932d9a,incident-src-cbb36a04e5932d9a,0.0,3,first_lap_candidate|wet_track_candidate|safety_car_restart_candidate,True,time_penalty,10,2,,pre_review_feasibility,False,True,review_priority_only_pending_context_and_conduct_review
adjudication-seed-fia-2018-abu-b67f80da207e-01,adj-2082537af6db5e25,incident-src-2082537af6db5e25,2,adjudication-seed-fia-2018-aze-4fbe7e105140-01,adj-915feddd8ae6b043,incident-src-915feddd8ae6b043,0.0,3,first_lap_candidate|wet_track_candidate|safety_car_restart_candidate,True,grid_penalty,,2,3,pre_review_feasibility,False,True,review_priority_only_pending_context_and_conduct_review
