harm_record_id,canonical_incident_key,event_id,session_type,participant_driver_number,reference_driver_number,incident_lap,matched_laps_before,matched_laps_after,pace_change_seconds_per_lap,pace_change_standard_error,pace_change_ci95_low,pace_change_ci95_high,same_compound_fraction,pace_screen_status,damage_confirmation_status,interpretation
bed0f8292ba344080ff2,referral-92a69d6732b75346,2022-abu,Race,6,23,38,6,7,-0.3512857142857134,0.38395528722109584,-1.1038380772390612,0.4012666486676344,0.9230769230769231,estimable_screen_pending_damage_and_context_review,pending_independent_source_review,teammate_relative_timing_screen_not_a_causal_damage_estimate
175b1660cfeea66e9ba6,referral-36e92eadd8444450,2022-gbr,Race,10,22,11,8,4,,,,,,not_estimable,pending_independent_source_review,teammate_relative_timing_screen_not_a_causal_damage_estimate
c0262fd78eee0a8eaf66,referral-1634cab5349707ea,2022-mia,Race,5,18,48,0,5,,,,,,not_estimable,pending_independent_source_review,teammate_relative_timing_screen_not_a_causal_damage_estimate
924c3ea32c386094bce0,referral-1634cab5349707ea,2022-mia,Race,20,47,48,0,5,,,,,,not_estimable,pending_independent_source_review,teammate_relative_timing_screen_not_a_causal_damage_estimate
82f9f04759561ffdb672,incident-src-8ac64d49533b4e49,2019-bhr,Race,26,23,12,4,7,,,,,,not_estimable,pending_independent_source_review,teammate_relative_timing_screen_not_a_causal_damage_estimate
1bc9282c81de7f0d2f5c,incident-src-a2465e3be559632e,2019-bhr,Race,26,23,12,4,7,,,,,,not_estimable,pending_independent_source_review,teammate_relative_timing_screen_not_a_causal_damage_estimate
b3d02a9281c7f7eaa6c1,referral-8eaeadc8694923f5,2019-bra,Race,3,27,8,6,7,-0.83797619047619,0.2484972752466093,-1.3250308499595442,-0.35092153099283574,0.46153846153846156,estimable_screen_pending_damage_and_context_review,pending_independent_source_review,teammate_relative_timing_screen_not_a_causal_damage_estimate
03725a0dbc34d2b95b8a,referral-ab5ecffd4b1f535b,2022-mia,Race,20,47,47,1,6,,,,,,not_estimable,pending_independent_source_review,teammate_relative_timing_screen_not_a_causal_damage_estimate
52da8ac78aa1af3dbf46,referral-52ca5ebc758ae25e,2022-usa,Race,14,31,22,4,5,,,,,,not_estimable,pending_independent_source_review,teammate_relative_timing_screen_not_a_causal_damage_estimate
110c650b42aaf2a8a3ea,referral-570dacabeafaef1c,2023-jpn,Race,20,27,12,5,6,-1.9440333333333313,0.48173329527631564,-2.88823059207491,-0.9998360745917526,0.18181818181818182,estimable_screen_pending_damage_and_context_review,pending_independent_source_review,teammate_relative_timing_screen_not_a_causal_damage_estimate
f9bb7ca2c9d8f1dafcd9,incident-src-2e20778ef64918d5,2024-abu,Race,20,27,30,7,7,-1.1155714285714322,0.3506737150425853,-1.8028919100548995,-0.42825094708796496,0.5,estimable_screen_pending_damage_and_context_review,pending_independent_source_review,teammate_relative_timing_screen_not_a_causal_damage_estimate
8f34ee3bfa627a40fd13,referral-bc57992bc49b2fc1,2024-chn,Race,20,27,27,1,4,,,,,,not_estimable,pending_independent_source_review,teammate_relative_timing_screen_not_a_causal_damage_estimate
1d830b0099b71bb57c8a,referral-562b20d8442a7b89,2025-ned,Race,12,63,53,6,4,,,,,,not_estimable,pending_independent_source_review,teammate_relative_timing_screen_not_a_causal_damage_estimate
f6e0cd2bfc49df0b483d,referral-562b20d8442a7b89,2025-ned,Race,63,12,53,6,4,,,,,,not_estimable,pending_independent_source_review,teammate_relative_timing_screen_not_a_causal_damage_estimate
fcba94f9ce2e7f36d393,referral-6da8a30656674802,2025-ned,Race,30,6,27,4,2,,,,,,not_estimable,pending_independent_source_review,teammate_relative_timing_screen_not_a_causal_damage_estimate
2a603945df0c9318c887,referral-6da8a30656674802,2025-ned,Race,55,23,27,4,2,,,,,,not_estimable,pending_independent_source_review,teammate_relative_timing_screen_not_a_causal_damage_estimate
73d59ea714b74d92bc8e,referral-5fdbc018f02e34db,2019-sgp,Race,8,20,35,8,2,,,,,,not_estimable,pending_independent_source_review,teammate_relative_timing_screen_not_a_causal_damage_estimate
9eff0887d55d10d371b3,incident-src-f21c53526f851c56,2021-sau,Race,16,55,15,2,6,,,,,,not_estimable,pending_independent_source_review,teammate_relative_timing_screen_not_a_causal_damage_estimate
89eced0779a560522141,referral-48f6a987a8ba4306,2022-esp,Race,10,22,27,8,4,,,,,,not_estimable,pending_independent_source_review,teammate_relative_timing_screen_not_a_causal_damage_estimate
68b74a2f654d0e84d02c,referral-48f6a987a8ba4306,2022-esp,Race,18,5,27,6,7,0.08483333333332896,0.6222144318531598,-1.1347069530988643,1.304373619765522,0.46153846153846156,estimable_screen_pending_damage_and_context_review,pending_independent_source_review,teammate_relative_timing_screen_not_a_causal_damage_estimate
744517791e3bd951efdc,referral-e92e90fa3199292b,2023-abu,Race,10,31,15,8,5,-0.25964999999999955,0.21332813674846496,-0.6777731480269908,0.15847314802699175,1.0,estimable_screen_pending_damage_and_context_review,pending_independent_source_review,teammate_relative_timing_screen_not_a_causal_damage_estimate
607d3665a9c295af8fae,referral-e92e90fa3199292b,2023-abu,Race,44,63,15,7,7,-0.1471428571428593,0.31450485866270544,-0.763572380121762,0.46928666583604334,1.0,estimable_screen_pending_damage_and_context_review,pending_independent_source_review,teammate_relative_timing_screen_not_a_causal_damage_estimate
8326e6c3b239e018677d,referral-34475639550d3206,2023-ita,Race,81,4,41,8,7,-1.4856249999999995,0.22637697206682184,-1.9293238652509703,-1.0419261347490287,0.5333333333333333,estimable_screen_pending_damage_and_context_review,pending_independent_source_review,teammate_relative_timing_screen_not_a_causal_damage_estimate
a273d3fc06c1e841309a,referral-6ec078881720fbf5,2023-lvs,Race,1,11,25,6,5,0.3291333333333351,0.4069645985149646,-0.4685172797559955,1.1267839464226657,1.0,estimable_screen_pending_damage_and_context_review,pending_independent_source_review,teammate_relative_timing_screen_not_a_causal_damage_estimate
cf1666e958fb8a5b10df,referral-6ec078881720fbf5,2023-lvs,Race,63,44,25,5,5,0.047600000000002744,0.5174389819099444,-0.9665804045434883,1.0617804045434938,0.5,estimable_screen_pending_damage_and_context_review,pending_independent_source_review,teammate_relative_timing_screen_not_a_causal_damage_estimate
75ee29dd59ba5b9e426b,referral-d74c2a82eb30d908,2025-bhr,Race,18,14,32,8,5,-0.8018750000000047,0.30902686184097994,-1.4075676492083253,-0.196182350791684,1.0,estimable_screen_pending_damage_and_context_review,pending_independent_source_review,teammate_relative_timing_screen_not_a_causal_damage_estimate
911f87d075fb5bf8216e,referral-d74c2a82eb30d908,2025-bhr,Race,30,6,32,6,5,-0.8298999999999954,0.6747212584961779,-2.152353666652504,0.4925536666525132,0.18181818181818182,estimable_screen_pending_damage_and_context_review,pending_independent_source_review,teammate_relative_timing_screen_not_a_causal_damage_estimate
a8c5a1907f526064be02,referral-3c7899a89e98a80f,2019-mco,Race,88,63,15,1,5,,,,,,not_estimable,pending_independent_source_review,teammate_relative_timing_screen_not_a_causal_damage_estimate
fefd3cd245f08c3320a0,referral-3c7899a89e98a80f,2019-mco,Race,99,7,15,1,7,,,,,,not_estimable,pending_independent_source_review,teammate_relative_timing_screen_not_a_causal_damage_estimate
3682cdb1be2880fa1af5,referral-36e92eadd8444450,2022-gbr,Race,22,10,11,8,4,,,,,,not_estimable,pending_independent_source_review,teammate_relative_timing_screen_not_a_causal_damage_estimate
