adjudication_instance_id,adjudication_id_final,incident_id_final,document_id,event_id,season,session_type_final,incident_family_final,accused_driver_number_final,affected_driver_numbers_final,fault_language_final,outcome_family_final,penalty_seconds_final,penalty_points_final,grid_places_final,guideline_regime,review_status,incident_lap_candidate,incident_lap_basis,first_lap_candidate,wet_track_candidate,safety_car_restart_candidate,attacker_line_candidate,overlap_candidate,corner_phase_candidate,control_error_candidate,context_review_status,sanction_outcome,fault_established_model_review,conduct_release_status
adjudication-seed-fia-2018-abu-18bc30990ea3-01,adj-b68335d3407c00bc,incident-src-b68335d3407c00bc,fia-2018-abu-18bc30990ea3,2018-abu,2018,Race,gaining_advantage_off_track,14,,not_applicable,time_penalty,5,1,,pre_driving_guidelines,model_reviewed_corrected,,unresolved,False,False,False,unknown,unknown,unknown,False,machine_extracted_pending_human_review,True,False,descriptive_model_review_pending_human
adjudication-seed-fia-2018-abu-754824eaae10-01,adj-58eaa3eee308cb80,incident-src-58eaa3eee308cb80,fia-2018-abu-754824eaae10,2018-abu,2018,Race,gaining_advantage_off_track,14,,not_applicable,time_penalty,5,1,,pre_driving_guidelines,model_reviewed_corrected,54,fia_incident_clock_single_lap_interval,False,False,False,unknown,unknown,unknown,False,machine_extracted_pending_human_review,True,False,descriptive_model_review_pending_human
adjudication-seed-fia-2018-abu-b67f80da207e-01,adj-2082537af6db5e25,incident-src-2082537af6db5e25,fia-2018-abu-b67f80da207e,2018-abu,2018,Race,causing_collision,27,8,no_conclusion,no_further_action,,,,pre_driving_guidelines,model_reviewed_agree,1,fia_incident_clock_single_lap_interval,True,False,False,unknown,unknown,unknown,False,machine_extracted_pending_human_review,False,False,descriptive_model_review_pending_human
adjudication-seed-fia-2018-abu-ba74bbf1e4a2-01,adj-e83d46d8daf5ec73,incident-src-e83d46d8daf5ec73,fia-2018-abu-ba74bbf1e4a2,2018-abu,2018,Race,gaining_advantage_off_track,14,,not_applicable,time_penalty,5,1,,pre_driving_guidelines,model_reviewed_corrected,51,fia_incident_clock_single_lap_interval,False,False,False,unknown,unknown,unknown,False,machine_extracted_pending_human_review,True,False,descriptive_model_review_pending_human
adjudication-seed-fia-2018-abu-e3bd8959c0f4-01,adj-9a44d3fc12f61d17,incident-src-9a44d3fc12f61d17,fia-2018-abu-e3bd8959c0f4,2018-abu,2018,Race,gaining_advantage_off_track,31,2,not_applicable,time_penalty,5,1,,pre_driving_guidelines,model_reviewed_corrected,,unresolved,False,False,False,unknown,unknown,unknown,False,machine_extracted_pending_human_review,True,False,descriptive_model_review_pending_human
adjudication-seed-fia-2018-aut-6376daf466a5-01,adj-b25c86494efcda3c,incident-src-b25c86494efcda3c,fia-2018-aut-6376daf466a5,2018-aut,2018,Race,gaining_advantage_off_track,7,33,not_applicable,no_further_action,,,,pre_driving_guidelines,model_reviewed_corrected,,unresolved,False,False,False,unknown,unknown,unknown,False,machine_extracted_pending_human_review,False,False,descriptive_model_review_pending_human
adjudication-seed-fia-2018-aut-9c50973f6716-01,adj-42055c7ca321d011,incident-src-42055c7ca321d011,fia-2018-aut-9c50973f6716,2018-aut,2018,Race,forcing_off_track,55,31,no_conclusion,reprimand,,,,pre_driving_guidelines,model_reviewed_agree,1,fia_incident_clock_single_lap_interval,True,False,False,unknown,unknown,unknown,False,machine_extracted_pending_human_review,False,False,descriptive_model_review_pending_human
adjudication-seed-fia-2018-aze-1bbf84530187-01,adj-e467c6122d516580,incident-src-e467c6122d516580,fia-2018-aze-1bbf84530187,2018-aze,2018,Race,causing_collision,33,3,shared_fault,reprimand,,,,pre_driving_guidelines,model_reviewed_agree,40,fia_incident_clock_single_lap_interval,False,False,False,unknown,unknown,unknown,False,machine_extracted_pending_human_review,False,True,descriptive_model_review_pending_human
adjudication-seed-fia-2018-aze-23f8b0b5b715-01,adj-cbb36a04e5932d9a,incident-src-cbb36a04e5932d9a,fia-2018-aze-23f8b0b5b715,2018-aze,2018,Race,causing_collision,9,20,wholly_to_blame,time_penalty,10,2,,pre_driving_guidelines,model_reviewed_agree,1,fia_incident_clock_single_lap_interval,True,False,False,unknown,unknown,unknown,False,machine_extracted_pending_human_review,True,True,descriptive_model_review_pending_human
adjudication-seed-fia-2018-aze-3e59a6773794-01,adj-2244116a8d1885ec,incident-src-2244116a8d1885ec,fia-2018-aze-3e59a6773794,2018-aze,2018,Race,causing_collision,31,7,racing_incident,no_further_action,,,,pre_driving_guidelines,model_reviewed_corrected,1,fia_incident_clock_single_lap_interval,True,False,False,inside,unknown,unknown,False,machine_extracted_pending_human_review,False,False,descriptive_model_review_pending_human
adjudication-seed-fia-2018-aze-4fbe7e105140-01,adj-915feddd8ae6b043,incident-src-915feddd8ae6b043,fia-2018-aze-4fbe7e105140,2018-aze,2018,Race,causing_collision,35,11,wholly_to_blame,grid_penalty,,2,3,pre_driving_guidelines,model_reviewed_corrected,1,fia_incident_clock_single_lap_interval,True,False,False,unknown,unknown,unknown,False,machine_extracted_pending_human_review,True,True,descriptive_model_review_pending_human
adjudication-seed-fia-2018-aze-94399ce60452-01,adj-fb216d7f0fbf8ff1,incident-src-fb216d7f0fbf8ff1,fia-2018-aze-94399ce60452,2018-aze,2018,Race,causing_collision,3,33,shared_fault,reprimand,,,,pre_driving_guidelines,model_reviewed_agree,40,fia_incident_clock_single_lap_interval,False,False,False,unknown,unknown,unknown,False,machine_extracted_pending_human_review,False,True,descriptive_model_review_pending_human
adjudication-seed-fia-2018-aze-b6df36c282b7-01,adj-b5b3a795e56fb51d,incident-src-b5b3a795e56fb51d,fia-2018-aze-b6df36c282b7,2018-aze,2018,Race,causing_collision,20,10,wholly_to_blame,time_penalty,10,2,,pre_driving_guidelines,model_reviewed_agree,,unresolved,False,False,False,unknown,unknown,unknown,False,machine_extracted_pending_human_review,True,True,descriptive_model_review_pending_human
adjudication-seed-fia-2018-bel-5f9336c3c23e-01,adj-dad7e6d1095a4d05,incident-src-dad7e6d1095a4d05,fia-2018-bel-5f9336c3c23e,2018-bel,2018,Race,causing_collision,77,35,wholly_to_blame,time_penalty,5,2,,pre_driving_guidelines,model_reviewed_corrected,1,fia_incident_clock_single_lap_interval,True,False,False,unknown,unknown,unknown,False,machine_extracted_pending_human_review,True,True,descriptive_model_review_pending_human
adjudication-seed-fia-2018-bel-6346000a9777-01,adj-f2430a8dcab51295,incident-src-f2430a8dcab51295,fia-2018-bel-6346000a9777,2018-bel,2018,Race,causing_collision,27,14,wholly_to_blame,grid_penalty,,3,10,pre_driving_guidelines,model_reviewed_corrected,1,fia_incident_clock_single_lap_interval,True,False,False,unknown,unknown,unknown,False,machine_extracted_pending_human_review,True,True,descriptive_model_review_pending_human
adjudication-seed-fia-2018-bhr-37959695abd9-01,adj-f085f5d8e175f3e4,incident-src-f085f5d8e175f3e4,fia-2018-bhr-37959695abd9,2018-bhr,2018,Race,causing_collision,28,11,wholly_to_blame,time_penalty,10,2,,pre_driving_guidelines,model_reviewed_agree,1,fia_incident_clock_single_lap_interval,True,False,False,unknown,unknown,unknown,False,machine_extracted_pending_human_review,True,True,descriptive_model_review_pending_human
adjudication-seed-fia-2018-bra-1cf7293f9bee-01,adj-39523131c9d9684d,incident-src-39523131c9d9684d,fia-2018-bra-1cf7293f9bee,2018-bra,2018,Race,causing_collision,31,33,no_conclusion,stop_go,,3,,pre_driving_guidelines,model_reviewed_corrected,,unresolved,False,False,False,unknown,unknown,unknown,False,machine_extracted_pending_human_review,True,False,descriptive_model_review_pending_human
adjudication-seed-fia-2018-can-6ea0e0275da8-01,adj-1bf13c58d15a0c62,incident-src-1bf13c58d15a0c62,fia-2018-can-6ea0e0275da8,2018-can,2018,Race,causing_collision,18,28,no_conclusion,no_further_action,,,,pre_driving_guidelines,model_reviewed_agree,1,fia_incident_clock_single_lap_interval,True,False,False,unknown,unknown,unknown,False,machine_extracted_pending_human_review,False,False,descriptive_model_review_pending_human
adjudication-seed-fia-2018-can-fa41432364aa-01,adj-f0841610b6a2725d,incident-src-f0841610b6a2725d,fia-2018-can-fa41432364aa,2018-can,2018,Race,causing_collision,55,11,no_conclusion,no_further_action,,,,pre_driving_guidelines,model_reviewed_agree,,unresolved,False,False,False,unknown,alongside,unknown,False,machine_extracted_pending_human_review,False,False,descriptive_model_review_pending_human
adjudication-seed-fia-2018-chn-ad3c0076d583-01,adj-171323b01c7fd2e4,incident-src-171323b01c7fd2e4,fia-2018-chn-ad3c0076d583,2018-chn,2018,Race,causing_collision,10,28,predominantly_to_blame,time_penalty,10,2,,pre_driving_guidelines,model_reviewed_agree,29,fia_incident_clock_single_lap_interval,False,False,False,unknown,unknown,unknown,False,machine_extracted_pending_human_review,True,True,descriptive_model_review_pending_human
