dimension,level,rows,exposed_rows,unexposed_rows,exposure_prevalence,both_exposure_groups_present
incident_family,causing_collision,233,28,205,0.12017167381974249,True
incident_family,forcing_off_track,43,3,40,0.06976744186046512,True
incident_family,gaining_advantage_off_track,54,10,44,0.18518518518518517,True
incident_family,moving_under_braking,2,1,1,0.5,True
incident_family,multiple_defensive_moves,6,1,5,0.16666666666666666,True
incident_family,unsafe_rejoin,8,1,7,0.125,True
season,2018,53,1,52,0.018867924528301886,True
season,2019,44,4,40,0.09090909090909091,True
season,2020,18,1,17,0.05555555555555555,True
season,2021,29,5,24,0.1724137931034483,True
season,2022,46,4,42,0.08695652173913043,True
season,2023,39,8,31,0.20512820512820512,True
season,2024,54,8,46,0.14814814814814814,True
season,2025,63,13,50,0.20634920634920634,True
multi_party,False,322,42,280,0.13043478260869565,True
multi_party,True,24,2,22,0.08333333333333333,True
home_race_accused,False,332,41,291,0.12349397590361445,True
home_race_accused,True,14,3,11,0.21428571428571427,True
