adjudication_instance_id,adjudication_id,incident_id,document_id,event_id,session_type,adjudication_car_numbers,accused_driver_number,affected_driver_numbers,lap_number,location,incident_family,outcome_family,referral_episode_id,link_score,runner_up_score,link_status,link_basis_json,link_review_status,link_reviewer_id,link_review_notes
adjudication-seed-fia-2025-hun-f1ff0743742b-01,adj-f09cc8aab8d224ac,incident-src-f09cc8aab8d224ac,fia-2025-hun-f1ff0743742b,2025-hun,Race,1|44,1,44,29,Turn 4,forcing_off_track,no_further_action,referral-f2a9c9ecb6d21184,10.0,,candidate_pending_review,"[""exact_car_set"", ""location""]",pending_human_validation,,
adjudication-seed-fia-2018-bhr-37959695abd9-01,adj-f085f5d8e175f3e4,incident-src-f085f5d8e175f3e4,fia-2018-bhr-37959695abd9,2018-bhr,Race,11|28,28,11,,Turn 4,causing_collision,time_penalty,referral-d039353f8ed48fe0,15.0,,high_confidence_algorithmic,"[""exact_car_set"", ""incident_family"", ""location"", ""terminal_outcome""]",pending_human_validation,,
adjudication-seed-fia-2018-chn-ad3c0076d583-01,adj-171323b01c7fd2e4,incident-src-171323b01c7fd2e4,fia-2018-chn-ad3c0076d583,2018-chn,Race,10|28,10,28,,Turn 14,causing_collision,time_penalty,referral-da0e54c0187d0fbe,15.0,7.0,high_confidence_algorithmic,"[""exact_car_set"", ""incident_family"", ""location"", ""terminal_outcome""]",pending_human_validation,,
adjudication-seed-fia-2018-chn-e98fbe4695b8-01,adj-04b290c26ab9e55d,incident-src-04b290c26ab9e55d,fia-2018-chn-e98fbe4695b8,2018-chn,Race,5|33,33,5,,Turn 14,causing_collision,time_penalty,referral-07b5cb573e331c13,15.0,7.0,high_confidence_algorithmic,"[""exact_car_set"", ""incident_family"", ""location"", ""terminal_outcome""]",pending_human_validation,,
adjudication-seed-fia-2018-aze-1bbf84530187-01,adj-e467c6122d516580,incident-src-e467c6122d516580,fia-2018-aze-1bbf84530187,2018-aze,Race,3|33,33,3,,Turn 20,causing_collision,reprimand,referral-fa03188bfc3f5b32,8.0,,candidate_pending_review,"[""exact_car_set""]",pending_human_validation,,
adjudication-seed-fia-2018-aze-23f8b0b5b715-01,adj-cbb36a04e5932d9a,incident-src-cbb36a04e5932d9a,fia-2018-aze-23f8b0b5b715,2018-aze,Race,9|20,9,20,,Turn 2,causing_collision,time_penalty,referral-035f8d6260760de8,10.0,8.0,candidate_pending_review,"[""exact_car_set"", ""location""]",pending_human_validation,,
adjudication-seed-fia-2018-aze-3e59a6773794-01,adj-2244116a8d1885ec,incident-src-2244116a8d1885ec,fia-2018-aze-3e59a6773794,2018-aze,Race,7|31,31,7,,"Turns 3, 2",causing_collision,no_further_action,referral-000a36711d6e5f60,8.0,,candidate_pending_review,"[""exact_car_set""]",pending_human_validation,,
adjudication-seed-fia-2018-aze-4fbe7e105140-01,adj-915feddd8ae6b043,incident-src-915feddd8ae6b043,fia-2018-aze-4fbe7e105140,2018-aze,Race,11|35,35,11,,Turn 2,causing_collision,grid_penalty,,,,unmatched,[],pending_human_validation,,
adjudication-seed-fia-2018-aze-94399ce60452-01,adj-fb216d7f0fbf8ff1,incident-src-fb216d7f0fbf8ff1,fia-2018-aze-94399ce60452,2018-aze,Race,3|33,3,33,,Turn 20,causing_collision,reprimand,referral-fa03188bfc3f5b32,8.0,,candidate_pending_review,"[""exact_car_set""]",pending_human_validation,,
adjudication-seed-fia-2018-aze-b6df36c282b7-01,adj-b5b3a795e56fb51d,incident-src-b5b3a795e56fb51d,fia-2018-aze-b6df36c282b7,2018-aze,Race,10|20,20,10,,Turn 20,causing_collision,time_penalty,referral-284df2fbe634a719,10.0,,candidate_pending_review,"[""exact_car_set"", ""location""]",pending_human_validation,,
adjudication-seed-fia-2018-esp-231d287cafcd-01,adj-9fe86942c422bf75,incident-src-9fe86942c422bf75,fia-2018-esp-231d287cafcd,2018-esp,Race,8|10|20|27,8,27|10|20,,Turns 2-3,causing_collision,grid_penalty,,,,unmatched,[],pending_human_validation,,
