source_message_index,event_id,session_type,message_timestamp,message_lap,message,process_status,car_numbers,car_count,location,incident_lap_explicit,incident_family
5,2018-abu,Race,2018-11-25 05:19:05-08:00,3.0,TURN 9 INCIDENT INVOLVING CARS 27 (HUL) AND 8 (GRO) UNDER INVESTIGATION - CAUSING A COLLISION,investigation,8|27,2,Turn 9,,causing_collision
6,2018-abu,Race,2018-11-25 05:20:37-08:00,3.0,TURN 9 INCIDENT INVOLVING CARS 27 (HUL) AND 8 (GRO) - NO FURTHER ACTION,no_further_action,8|27,2,Turn 9,,other
9,2018-abu,Race,2018-11-25 05:23:26-08:00,4.0,TURN 9 INCIDENT INVOLVING CARS 55 (SAI) AND 9 (ERI) NOTED - LEAVING THE TRACK AND GAINING AN ADVANTAGE,noted,9|55,2,Turn 9,,gaining_advantage_off_track
22,2018-abu,Race,2018-11-25 06:15:31-08:00,33.0,TURN 17 INCIDENT INVOLVING CARS 2 (VAN) AND 31 (OCO) UNDER INVESTIGATION - LEAVING THE TRACK AND GAINING AN ADVANTAGE,investigation,2|31,2,Turn 17,,gaining_advantage_off_track
23,2018-abu,Race,2018-11-25 06:17:41-08:00,35.0,5 SECOND TIME PENALTY FOR CAR 31 (OCO) - LEAVING THE TRACK AND GAINING AN ADVANTAGE,sanction_announced,31,1,,,gaining_advantage_off_track
64,2018-abu,Race,2018-11-25 06:51:16-08:00,54.0,5 SECOND TIME PENALTY FOR CAR 14 (ALO) - LEAVING THE TRACK AND GAINING AN ADVANTAGE,sanction_announced,14,1,,,gaining_advantage_off_track
65,2018-abu,Race,2018-11-25 06:52:55-08:00,55.0,5 SECOND TIME PENALTY FOR CAR 14 (ALO) - LEAVING THE TRACK AND GAINING AN ADVANTAGE,sanction_announced,14,1,,,gaining_advantage_off_track
69,2018-abu,Race,2018-11-25 06:58:41-08:00,55.0,5 SECOND TIME PENALTY FOR CAR 14 (ALO) - LEAVING THE TRACK AND GAINING AN ADVANTAGE,sanction_announced,14,1,,,gaining_advantage_off_track
119,2018-aus,Race,2018-03-24 23:05:02-07:00,32.0,PIT LANE INCIDENT INVOLVING CAR 20 (MAG) WILL BE INVESTIGATED AFTER THE RACE - CAR RELEASED IN AN UNSAFE CONDITION,post_session_investigation,20,1,Pit Lane,,unsafe_release
120,2018-aus,Race,2018-03-24 23:05:12-07:00,33.0,PIT LANE INCIDENT INVOLVING CAR 8 (GRO) WILL BE INVESTIGATED AFTER THE RACE - CAR RELEASED IN AN UNSAFE CONDITION,post_session_investigation,8,1,Pit Lane,,unsafe_release
137,2018-aut,Race,2018-07-01 06:22:44-07:00,9.0,TURN 1 INCIDENT INVOLVING CARS 31 (OCO) AND 55 (SAI) NOTED,noted,31|55,2,Turn 1,,other
138,2018-aut,Race,2018-07-01 06:23:06-07:00,9.0,TURN 3 INCIDENT INVOLVING CARS 2 (VAN) AND 10 (GAS) NOTED,noted,2|10,2,Turn 3,,other
140,2018-aut,Race,2018-07-01 06:23:51-07:00,10.0,TURN 3 INCIDENT INVOLVING CARS 7 (RAI) AND 33 (VER) NOTED,noted,7|33,2,Turn 3,,other
149,2018-aut,Race,2018-07-01 06:27:48-07:00,13.0,TURN 3 INCIDENT INVOLVING CARS 10 (GAS) AND 2 (VAN) - NO INVESTIGATION NECESSARY,no_investigation,2|10,2,Turn 3,,other
155,2018-aut,Race,2018-07-01 06:30:09-07:00,15.0,TURN 1 INCIDENT INVOLVING CARS 31 (OCO) AND 55 (SAI) UNDER INVESTIGATION,investigation,31|55,2,Turn 1,,other
156,2018-aut,Race,2018-07-01 06:30:33-07:00,16.0,TURN 3 INCIDENT INVOLVING CARS 7 (RAI) AND 33 (VER) UNDER INVESTIGATION,investigation,7|33,2,Turn 3,,other
170,2018-aut,Race,2018-07-01 06:37:23-07:00,21.0,TURN 3 INCIDENT INVOLVING CARS 7 (RAI) AND 33 (VER) - NO FURTHER ACTION,no_further_action,7|33,2,Turn 3,,other
172,2018-aut,Race,2018-07-01 06:41:48-07:00,25.0,TURN 1 INCIDENT INVOLVING CARS 31 (OCO) AND 55 (SAI) - REPRIMAND TO CAR 55 (SAI),sanction_announced,31|55,2,Turn 1,,other
242,2018-aut,Race,2018-07-01 07:34:28-07:00,71.0,BLUE FLAG INCIDENT INVOLVING CAR 18 (STR) WILL BE INVESTIGATED AFTER THE RACE,post_session_investigation,18,1,,,blue_flags
283,2018-aze,Race,2018-04-29 05:46:40-07:00,16.0,FIRST LAP INCIDENTS AT TURNS 2 AND 3 ALL NOTED,noted,,0,Turn 2-3,1.0,other
289,2018-aze,Race,2018-04-29 05:51:13-07:00,19.0,TURN 2 INCIDENT INVOLVING CARS 31 (OCO) AND 7 (RAI) WILL BE INVESTIGATED AFTER THE RACE,post_session_investigation,7|31,2,Turn 2,,other
