referral_episode_id,event_id,session_type,first_timestamp,last_timestamp,car_numbers,car_count,location,incident_family,incident_lap_explicit,message_lap_min,message_lap_max,process_statuses,terminal_status,message_count,messages_json,episode_review_status,linked_to_primary_adjudication
referral-9b6de88fc350879a,2018-abu,Race,2018-11-25 05:19:05-08:00,2018-11-25 05:20:37-08:00,8|27,2,Turn 9,causing_collision,,3,3,investigation|no_further_action,no_further_action,2,"[""TURN 9 INCIDENT INVOLVING CARS 27 (HUL) AND 8 (GRO) UNDER INVESTIGATION - CAUSING A COLLISION"", ""TURN 9 INCIDENT INVOLVING CARS 27 (HUL) AND 8 (GRO) - NO FURTHER ACTION""]",algorithmic_pending_human_validation,True
referral-fb5175f703ca81b0,2018-abu,Race,2018-11-25 05:23:26-08:00,2018-11-25 05:23:26-08:00,9|55,2,Turn 9,gaining_advantage_off_track,,4,4,noted,noted,1,"[""TURN 9 INCIDENT INVOLVING CARS 55 (SAI) AND 9 (ERI) NOTED - LEAVING THE TRACK AND GAINING AN ADVANTAGE""]",algorithmic_pending_human_validation,False
referral-afc003373dd8dcff,2018-abu,Race,2018-11-25 06:15:31-08:00,2018-11-25 06:17:41-08:00,2|31,2,Turn 17,gaining_advantage_off_track,,33,35,investigation|sanction_announced,sanction_announced,2,"[""TURN 17 INCIDENT INVOLVING CARS 2 (VAN) AND 31 (OCO) UNDER INVESTIGATION - LEAVING THE TRACK AND GAINING AN ADVANTAGE"", ""5 SECOND TIME PENALTY FOR CAR 31 (OCO) - LEAVING THE TRACK AND GAINING AN ADVANTAGE""]",algorithmic_pending_human_validation,True
referral-036a14c008c11cef,2018-abu,Race,2018-11-25 06:51:16-08:00,2018-11-25 06:58:41-08:00,14,1,,gaining_advantage_off_track,,54,55,sanction_announced,sanction_announced,3,"[""5 SECOND TIME PENALTY FOR CAR 14 (ALO) - LEAVING THE TRACK AND GAINING AN ADVANTAGE"", ""5 SECOND TIME PENALTY FOR CAR 14 (ALO) - LEAVING THE TRACK AND GAINING AN ADVANTAGE"", ""5 SECOND TIME PENALTY FOR CAR 14 (ALO) - LEAVING THE TRACK AND GAINING AN ADVANTAGE""]",algorithmic_pending_human_validation,True
referral-76f25098c5c331d3,2018-aus,Race,2018-03-24 23:05:02-07:00,2018-03-24 23:05:02-07:00,20,1,Pit Lane,unsafe_release,,32,32,post_session_investigation,post_session_investigation,1,"[""PIT LANE INCIDENT INVOLVING CAR 20 (MAG) WILL BE INVESTIGATED AFTER THE RACE - CAR RELEASED IN AN UNSAFE CONDITION""]",algorithmic_pending_human_validation,False
referral-4e25c7337f20cc5f,2018-aus,Race,2018-03-24 23:05:12-07:00,2018-03-24 23:05:12-07:00,8,1,Pit Lane,unsafe_release,,33,33,post_session_investigation,post_session_investigation,1,"[""PIT LANE INCIDENT INVOLVING CAR 8 (GRO) WILL BE INVESTIGATED AFTER THE RACE - CAR RELEASED IN AN UNSAFE CONDITION""]",algorithmic_pending_human_validation,False
referral-e5a0ee4b543a5b62,2018-aut,Race,2018-07-01 06:22:44-07:00,2018-07-01 06:41:48-07:00,31|55,2,Turn 1,other,,9,25,noted|investigation|sanction_announced,sanction_announced,3,"[""TURN 1 INCIDENT INVOLVING CARS 31 (OCO) AND 55 (SAI) NOTED"", ""TURN 1 INCIDENT INVOLVING CARS 31 (OCO) AND 55 (SAI) UNDER INVESTIGATION"", ""TURN 1 INCIDENT INVOLVING CARS 31 (OCO) AND 55 (SAI) - REPRIMAND TO CAR 55 (SAI)""]",algorithmic_pending_human_validation,True
referral-8a5e9abdc7a45e7e,2018-aut,Race,2018-07-01 06:23:06-07:00,2018-07-01 06:27:48-07:00,2|10,2,Turn 3,other,,9,13,noted|no_investigation,no_investigation,2,"[""TURN 3 INCIDENT INVOLVING CARS 2 (VAN) AND 10 (GAS) NOTED"", ""TURN 3 INCIDENT INVOLVING CARS 10 (GAS) AND 2 (VAN) - NO INVESTIGATION NECESSARY""]",algorithmic_pending_human_validation,False
referral-6e403822e93409c7,2018-aut,Race,2018-07-01 06:23:51-07:00,2018-07-01 06:37:23-07:00,7|33,2,Turn 3,other,,10,21,noted|investigation|no_further_action,no_further_action,3,"[""TURN 3 INCIDENT INVOLVING CARS 7 (RAI) AND 33 (VER) NOTED"", ""TURN 3 INCIDENT INVOLVING CARS 7 (RAI) AND 33 (VER) UNDER INVESTIGATION"", ""TURN 3 INCIDENT INVOLVING CARS 7 (RAI) AND 33 (VER) - NO FURTHER ACTION""]",algorithmic_pending_human_validation,True
referral-b8a7666dfbc8044b,2018-aut,Race,2018-07-01 07:34:28-07:00,2018-07-01 07:34:28-07:00,18,1,,blue_flags,,71,71,post_session_investigation,post_session_investigation,1,"[""BLUE FLAG INCIDENT INVOLVING CAR 18 (STR) WILL BE INVESTIGATED AFTER THE RACE""]",algorithmic_pending_human_validation,False
referral-76af519e8713ce8a,2018-aze,Race,2018-04-29 05:46:40-07:00,2018-04-29 05:46:40-07:00,,0,Turn 2-3,other,1.0,16,16,noted,noted,1,"[""FIRST LAP INCIDENTS AT TURNS 2 AND 3 ALL NOTED""]",algorithmic_pending_human_validation,False
referral-000a36711d6e5f60,2018-aze,Race,2018-04-29 05:51:13-07:00,2018-04-29 05:51:13-07:00,7|31,2,Turn 2,other,,19,19,post_session_investigation,post_session_investigation,1,"[""TURN 2 INCIDENT INVOLVING CARS 31 (OCO) AND 7 (RAI) WILL BE INVESTIGATED AFTER THE RACE""]",algorithmic_pending_human_validation,True
referral-4b2b8bff619e24c9,2018-aze,Race,2018-04-29 05:52:18-07:00,2018-04-29 05:52:18-07:00,14|27|35,3,Turn 2,other,,19,19,no_investigation,no_investigation,1,"[""TURN 2 INCIDENT INVOLVING CARS 14 (ALO),27 (HUL)  AND 35 (SIR) NOTED - NO INVESTIGATION NECESSARY""]",algorithmic_pending_human_validation,False
referral-035f8d6260760de8,2018-aze,Race,2018-04-29 05:53:17-07:00,2018-04-29 05:53:17-07:00,9|20,2,Turn 2,other,,20,20,investigation,investigation,1,"[""TURN 2 INCIDENT INVOLVING CARS 9 (ERI) AND 20 (MAG) UNDER INVESTIGATION""]",algorithmic_pending_human_validation,True
referral-66b51e0807e0cf84,2018-aze,Race,2018-04-29 05:53:57-07:00,2018-04-29 05:53:57-07:00,9,1,,causing_collision,,20,20,sanction_announced,sanction_announced,1,"[""10 SECOND TIME PENALTY FOR CAR 9 (ERI) - CAUSING A COLLISION""]",algorithmic_pending_human_validation,False
referral-d05fe5a370977535,2018-aze,Race,2018-04-29 05:59:36-07:00,2018-04-29 06:00:34-07:00,11,1,,other,,23,24,investigation|sanction_announced,sanction_announced,2,"["" INCIDENT INVOLVING CAR 11 (PER) UNDER INVESTIGATION - OVERTAKING BEFORE THE SAFETY CAR LINE"", ""5 SECOND TIME PENALTY FOR CAR 11 (PER) - OVERTAKING BEFORE THE SAFETY CAR LINE""]",algorithmic_pending_human_validation,False
referral-f08eb9e57630e8b8,2018-aze,Race,2018-04-29 06:29:08-07:00,2018-04-29 06:29:08-07:00,11|18|20,3,,other,,40,40,post_session_investigation,post_session_investigation,1,"[""INCIDENT INVOLVING CARS 11 (PER), 18 (STR) AND 20 (MAG) WILL BE INVESTIGATED AFTER THE RACE - USE OF DRS WHEN NOT PERMITTED""]",algorithmic_pending_human_validation,False
referral-fa03188bfc3f5b32,2018-aze,Race,2018-04-29 06:54:17-07:00,2018-04-29 06:54:17-07:00,3|33,2,Turn 1,other,,50,50,post_session_investigation,post_session_investigation,1,"[""TURN 1 INCIDENT INVOLVING CARS 3 (RIC) AND 33 (VER) WILL BE INVESTIGATED AFTER THE RACE""]",algorithmic_pending_human_validation,True
referral-284df2fbe634a719,2018-aze,Race,2018-04-29 06:56:49-07:00,2018-04-29 06:56:49-07:00,10|20,2,Turn 20,other,,51,51,post_session_investigation,post_session_investigation,1,"[""TURN 20 INCIDENT INVOLVING CARS 10 (GAS) AND 20 (MAG) WILL BE INVESTIGATED AFTER THE RACE""]",algorithmic_pending_human_validation,True
referral-4e98c24d880d1ea4,2018-bel,Race,2018-08-26 06:16:11-07:00,2018-08-26 06:16:11-07:00,,0,Turn 1,other,,2,2,investigation,investigation,1,"[""1ST CORNER INCIDENT UNDER INVESTIGATION""]",algorithmic_pending_human_validation,False
referral-dc86b2d62ca3bd77,2018-bel,Race,2018-08-26 06:17:28-07:00,2018-08-26 06:17:28-07:00,,0,Turn 1,other,,2,2,post_session_investigation,post_session_investigation,1,"[""TURN 1 INCIDENT WILL BE INVESTIGATED AFTER THE RACE""]",algorithmic_pending_human_validation,False
referral-049155b3de8f7d38,2018-bel,Race,2018-08-26 06:27:32-07:00,2018-08-26 06:29:10-07:00,3|7,2,Turn 1,other,,6,7,noted|no_investigation,no_investigation,2,"[""TURN 1 INCIDENT INVOLVING CARS 3 (RIC) AND 7 (RAI) NOTED"", ""TURN 1 INCIDENT INVOLVING CARS 3 (RIC) AND 7 (RAI) - NO INVESTIGATION NECESSARY""]",algorithmic_pending_human_validation,False
referral-d039353f8ed48fe0,2018-bhr,Race,2018-04-08 08:24:36-07:00,2018-04-08 08:38:19-07:00,11|28,2,Turn 4,causing_collision,,7,12,investigation|sanction_announced|post_session_investigation,sanction_announced,4,"[""TURN 4 INCIDENT INVOLVING CARS 11 (PER) AND 28 (HAR) UNDER INVESTIGATION - CAUSING A COLLISION"", ""10 SECOND TIME PENALTY FOR CAR 28 (HAR) - CAUSING A COLLISION"", ""INCIDENT INVOLVING CARS 11 (PER) AND 28 (HAR) UNDER INVESTIGATION - FAILURE TO MAINTAIN ORDER ON THE FORMATION LAP"", ""INCIDENT INVOLVING CARS 11 (PER) AND 28 (HAR) WILL BE INVESTIGATED AFTER THE RACE""]",algorithmic_pending_human_validation,True
referral-9462fa72a356ac1f,2018-bhr,Race,2018-04-08 08:27:04-07:00,2018-04-08 08:27:04-07:00,33|44,2,Turn 1,other,,8,8,no_further_action,no_further_action,1,"[""TURN 1 INCIDENT INVOLVING CARS 33 (VER) AND 44 (HAM) NOTED - NO FURTHER ACTION""]",algorithmic_pending_human_validation,False
referral-572532d45b619c08,2018-bhr,Race,2018-04-08 08:27:48-07:00,2018-04-08 08:27:48-07:00,20|27,2,,other,,9,9,no_further_action,no_further_action,1,"[""INCIDENT INVOLVING CARS 27 (HUL) AND 20 (MAG) NOTED - NO FURTHER ACTION""]",algorithmic_pending_human_validation,False
referral-9435811874b02825,2018-bhr,Race,2018-04-08 09:16:12-07:00,2018-04-08 09:16:12-07:00,7,1,,unsafe_release,,39,39,post_session_investigation,post_session_investigation,1,"[""INCIDENT INVOLVING CAR 7 (RAI) WILL BE INVESTIGATED AFTER THE RACE - UNSAFE RELEASE""]",algorithmic_pending_human_validation,False
